station_mac,first_seen,manufacturer,power,probed_ssid,last_seen,riot_id,current_ap_bssid,current_ap_essid,poweron_mac,fip_essid,time
5C:51:88:37:D4:7D,2015-10-20T11:54:48-03:00,Unknown,-95,ALISON FONTES,2015-10-20T12:01:03-03:00,001,,,,,1445353276
20:62:74:4B:78:50,2015-10-20T10:35:41-03:00,Microsoft Corporation,-91,sgpNET,2015-10-20T12:01:05-03:00,001,,,,,1445353276
C0:65:99:28:23:7A,2015-10-20T12:00:45-03:00,"Samsung Electronics Co.,Ltd",-91,Oi WiFi Fon,2015-10-20T12:01:04-03:00,001,52:91:F9:DE:71:C6,"",,,1445353276
F8:CF:C5:41:F2:CA,2015-10-20T10:40:15-03:00,Unknown,-89,"Tapitanga,Netroute F:88169814 Marinete,Marcelo  Do  Caldinho,RioMar,Skynet_casamar_2.4,Pizzaria Atlantico,ELIDA,Paradise,Marisqueira Net.,SOLAR DA PRAIA",2015-10-20T12:01:07-03:00,001,,,,,1445353276
0C:74:C2:BF:BD:50,2015-10-20T11:51:48-03:00,Apple,-87,"MARQUES METALNET 986005750,SpaceInvaders,AndroidAP,Paco Real,hotspot,INCUBADORA,PACOALFANDEGA,Cafe Cultura,Qualcomm,QUALITICISCO2",2015-10-20T12:01:05-03:00,001,,,,,1445353276
9C:D9:17:E0:7B:29,2015-10-20T10:31:33-03:00,Motorola Mobility LLC,-89,SODET,2015-10-20T12:01:12-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
14:1A:A3:6C:7C:80,2015-10-20T10:29:54-03:00,Motorola Mobility LLC,-73,SODET,2015-10-20T12:01:11-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
C0:BD:D1:E7:5B:03,2015-10-20T10:30:15-03:00,"Samsung Electro Mechanics co., LTD.",-77,SODET,2015-10-20T12:01:08-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
60:BE:B5:96:0C:DB,2015-10-20T11:03:05-03:00,Motorola Mobility LLC,-63,"Rangel wifi 2,rafael,HELIO,Tavares Wi-Fi,SODET,genomika-sala02,freda,Nexos_2,Rangel wifi,GVT-9F6F",2015-10-20T12:01:06-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
2C:59:E5:BE:1B:43,2015-10-20T10:29:38-03:00,Hewlett Packard,-67,,2015-10-20T12:01:12-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
